epoch,accuracy,loss,val_accuracy,val_loss
0,0.3611956834793091,1.3335144519805908,0.4063400626182556,1.2857983112335205
1,0.6210905313491821,1.0091472864151,0.6657060384750366,0.92520672082901
2,0.7854968309402466,0.5941051840782166,0.7204610705375671,0.809693455696106
3,0.8394685983657837,0.42420944571495056,0.7060518860816956,0.7840912938117981
4,0.8751729726791382,0.34259793162345886,0.7060518860816956,0.8040592074394226
5,0.9050650596618652,0.27824217081069946,0.7031700015068054,0.8552099466323853
6,0.9177968502044678,0.23796014487743378,0.6829971075057983,0.9231905341148376
7,0.9349570870399475,0.19980384409427643,0.6916426420211792,0.9529994130134583
8,0.947965681552887,0.16727907955646515,0.6657060384750366,1.0132133960723877
9,0.9540547728538513,0.14502142369747162,0.6743515729904175,1.0561264753341675
10,0.9612510204315186,0.12961246073246002,0.6628242135047913,1.1345412731170654
11,0.9651259183883667,0.1157330572605133,0.6455331444740295,1.2003225088119507
12,0.9659562706947327,0.10833151638507843,0.6685879230499268,1.2519197463989258
13,0.9692776203155518,0.09918693453073502,0.6657060384750366,1.2822637557983398
14,0.972875714302063,0.08953402936458588,0.6628242135047913,1.3165656328201294
15,0.973429262638092,0.08573923259973526,0.6570605039596558,1.3567895889282227
16,0.975089967250824,0.08399953693151474,0.6657060384750366,1.4148560762405396
17,0.973429262638092,0.08032197505235672,0.6570605039596558,1.4516472816467285
18,0.973429262638092,0.07631082087755203,0.6657060384750366,1.4421955347061157
19,0.974259614944458,0.071167953312397,0.651296854019165,1.5193451642990112
20,0.9789648652076721,0.06803052127361298,0.6484149694442749,1.499609112739563
21,0.9748131632804871,0.07276635617017746,0.6426513195037842,1.566866159439087
22,0.9786880612373352,0.06524316966533661,0.6599423885345459,1.5149890184402466
23,0.9806255102157593,0.05882519483566284,0.6628242135047913,1.5643669366836548
24,0.9786880612373352,0.061292462050914764,0.6484149694442749,1.6197510957717896
